result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,white_piece_activity,black_piece_activity,eval_after_move_15
1-0,114,English Opening,white,8,8,True,True,42,10,0.30337078651685395,0.9166666666666667,31.52863436123348,19.854625550660792,0.6
1-0,57,Benko's Opening,white,16,16,True,True,14,12,1.6923076923076923,0.7674418604651163,31.79646017699115,27.831858407079647,0.8
0-1,43,Benko's Opening,black,5,5,True,True,10,28,0.6578947368421053,1.1666666666666667,36.976190476190474,34.773809523809526,0.71
1/2-1/2,154,"English, Symmetrical Variation",draw,6,6,True,True,20,20,0.4576271186440678,0.65,16.136807817589577,23.27687296416938,-0.6
0-1,55,Sicilian Defense,black,8,8,True,True,4,16,0.28571428571428575,0.8163265306122449,35.361111111111114,37.574074074074076,-1.23
0-1,43,King' s Pawn Opening,black,15,15,True,True,8,8,2.5,0.5306122448979592,31.25,33.333333333333336,1.28
1-0,48,King' s Pawn Opening,white,12,12,True,False,30,28,0.78,2.0833333333333335,37.94736842105263,30.936842105263157,1.76
0-1,61,Larsen's Opening,black,11,11,False,False,6,30,0.8163265306122448,0.6875,27.416666666666668,36.291666666666664,-0.38
1-0,62,Queen's Pawn Opening,white,19,19,True,True,18,6,0.3870967741935484,2.3636363636363633,34.28455284552845,26.43089430894309,0.8
0-1,20,Dunst Opening,black,5,5,False,False,2,0,0.9230769230769231,0.9615384615384616,33.3421052631579,36.421052631578945,0.45
0-1,84,Benko's Opening,black,12,12,True,True,8,22,0.7352941176470589,0.25806451612903225,18.596385542168676,29.427710843373493,-0.8
0-1,61,Bird's Opening,black,7,7,True,True,12,14,0.40384615384615385,0.5128205128205129,24.45,30.575,-0.57
1-0,39,Larsen's Opening,white,14,14,True,True,18,0,0.8974358974358975,0.9642857142857144,34.883116883116884,29.2987012987013,-0.03
1-0,64,King's Gambit,white,5,5,True,False,40,20,0.8214285714285713,1.9629629629629628,32.38582677165354,28.015748031496063,0.83
1-0,55,English Opening,white,8,8,True,True,32,12,1.7209302325581397,1.0833333333333333,37.018348623853214,28.073394495412845,0.73
0-1,45,Larsen's Opening,black,7,7,False,True,8,34,1.2142857142857142,2.2,32.94318181818182,37.32954545454545,-0.64
0-1,66,Bird's Opening,black,7,7,False,True,16,12,0.8571428571428572,0.6617647058823529,23.70769230769231,32.88461538461539,0.05
0-1,39,Benko's Opening,black,19,19,True,True,12,6,0.8333333333333334,1.0,35.76315789473684,36.51315789473684,-0.75
1-0,49,King' s Pawn Opening,white,8,8,True,True,36,6,1.1739130434782608,1.1891891891891893,39.22680412371134,29.04123711340206,1.02
