result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,w_center_control,b_center_control,white_piece_activity,black_piece_activity,eval_after_move_15
1-0,61,Larsen's Opening,white,11,11,True,True,20,2,1.2682926829268293,0.64,2.7520661157024793,2.8677685950413223,35.05785123966942,35.768595041322314,0.1
0-1,34,King' s Pawn Opening,black,11,11,False,True,14,14,1.0,0.6818181818181818,2.9696969696969697,2.9545454545454546,34.84848484848485,37.166666666666664,-0.03
0-1,58,English Opening,black,15,15,True,True,22,12,0.5283018867924528,0.5306122448979592,2.956140350877193,1.7105263157894737,35.49122807017544,30.36842105263158,0.2
1-0,40,Bird's Opening,white,19,19,True,False,34,14,1.2413793103448274,0.8125,2.0126582278481013,2.3164556962025316,35.620253164556964,28.10126582278481,-0.5
1/2-1/2,47,Benko's Opening,draw,17,17,True,True,10,8,0.7037037037037037,1.722222222222222,2.78494623655914,2.806451612903226,34.086021505376344,35.1505376344086,-0.13
0-1,67,English Opening,black,20,20,True,True,40,26,1.0,0.9677419354838709,2.257575757575758,3.0303030303030303,27.825757575757574,36.15909090909091,0.5
1-0,82,King' s Pawn Opening,white,5,5,True,False,14,18,1.125,1.1538461538461537,2.4049079754601226,1.5766871165644172,30.736196319018404,22.901840490797547,-0.17
0-1,40,Reti Opening,black,16,16,True,True,12,22,0.738095238095238,1.368421052631579,2.858974358974359,2.730769230769231,33.73076923076923,34.47435897435897,0.65
1-0,57,"English, Symmetrical Variation",white,5,5,True,True,10,6,0.40425531914893614,1.3529411764705883,2.601769911504425,2.1946902654867255,29.672566371681416,25.115044247787612,1.09
0-1,97,Reti Opening,black,7,7,True,True,8,40,0.746268656716418,0.7875,2.0416666666666665,2.3177083333333335,24.34375,33.140625,-0.47
1-0,47,Benko's Opening,white,16,16,True,True,16,6,0.5454545454545455,1.53125,2.978494623655914,2.903225806451613,36.204301075268816,32.075268817204304,1.06
0-1,27,Dunst Opening,black,5,5,False,False,18,16,0.6666666666666666,0.84375,2.1346153846153846,2.326923076923077,32.03846153846154,31.903846153846153,4.27
0-1,92,Bird's Opening,black,14,14,True,True,10,12,0.2602739726027397,1.0869565217391306,1.8461538461538463,2.9175824175824174,20.692307692307693,27.076923076923077,-0.38
1-0,32,Bird's Opening,white,14,14,True,True,12,0,1.0,1.0,3.4761904761904763,3.0793650793650795,36.095238095238095,34.23809523809524,-0.48
1-0,33,Queen's Pawn Opening,white,11,11,True,False,24,14,2.0,0.7894736842105262,2.8923076923076922,2.2615384615384615,35.6,29.50769230769231,2.6
0-1,62,Queen's Pawn Opening,black,12,12,True,True,4,12,0.5957446808510639,2.6538461538461537,2.2950819672131146,3.3360655737704916,30.065573770491802,37.74590163934426,0.1
1-0,39,Queen's Pawn Opening,white,11,11,True,False,10,8,0.36538461538461536,1.3666666666666667,2.883116883116883,2.4415584415584415,34.09090909090909,32.54545454545455,0.04
1-0,69,Queen's Pawn Opening,white,19,19,True,True,16,4,0.7636363636363636,1.1621621621621623,2.9051094890510947,2.204379562043796,35.277372262773724,29.124087591240876,0.38
1-0,46,Bird's Opening,white,5,5,True,True,36,14,2.1904761904761907,1.5483870967741935,3.010989010989011,2.4395604395604398,33.967032967032964,28.736263736263737,0.51
1-0,100,Bird's Opening,white,14,14,False,True,26,18,0.4615384615384615,1.864864864864865,2.135678391959799,2.351758793969849,25.718592964824122,22.90452261306533,-0.92
1/2-1/2,155,Queen's Pawn Opening,draw,13,13,False,False,12,14,0.37837837837837834,0.7428571428571428,2.1915584415584415,1.0194805194805194,26.227272727272727,13.405844155844155,-0.65
1-0,54,Benko's Opening,white,7,7,False,False,16,8,2.1666666666666665,0.8666666666666666,3.102803738317757,2.149532710280374,36.61682242990654,27.7196261682243,0.23
1-0,48,Queen's Pawn Opening,white,20,20,True,False,6,8,0.6181818181818182,0.5483870967741935,2.9263157894736844,2.7473684210526317,36.36842105263158,32.94736842105263,2.35
0-1,38,Bird's Opening,black,10,10,False,True,12,24,1.1818181818181819,0.7777777777777779,2.0135135135135136,3.5405405405405403,30.54054054054054,37.58108108108108,-0.56
0-1,25,Benko's Opening,black,17,17,True,True,0,12,1.3333333333333333,0.9333333333333333,2.7916666666666665,3.2916666666666665,32.583333333333336,37.979166666666664,-0.62
1-0,43,Bird's Opening,white,10,10,False,True,6,10,1.8125,1.8125,3.3411764705882354,3.6705882352941175,36.67058823529412,35.54117647058823,0.54
1-0,87,Queen's Pawn Opening,white,18,18,False,True,24,14,1.7446808510638299,0.23611111111111108,2.346820809248555,2.531791907514451,30.017341040462426,24.739884393063583,0.78
1-0,74,Reti Opening,white,11,11,True,True,42,18,0.2857142857142857,0.875,2.6054421768707483,3.2244897959183674,36.68707482993197,31.17687074829932,0.49
1-0,49,Queen's Pawn Opening,white,20,20,False,True,32,10,0.6818181818181819,0.688888888888889,2.88659793814433,2.948453608247423,36.134020618556704,30.278350515463917,0.4
0-1,42,Reti Opening,black,13,13,True,True,10,20,1.0,1.3333333333333333,2.5365853658536586,2.7439024390243905,30.865853658536587,35.048780487804876,-1.36
0-1,43,Bird's Opening,black,5,5,True,True,10,20,0.3333333333333333,1.0740740740740742,2.2857142857142856,2.8095238095238093,31.952380952380953,35.57142857142857,-1.36
1-0,38,Bird's Opening,white,15,15,False,False,8,20,0.5365853658536586,1.0454545454545454,2.8933333333333335,2.1866666666666665,31.16,27.773333333333333,0.16
0-1,79,Queen's Pawn Opening,black,8,8,True,True,36,20,2.6874999999999996,0.6617647058823529,2.4935897435897436,2.3461538461538463,32.82051282051282,32.782051282051285,-1.53
0-1,78,Bird's Opening,black,15,15,True,True,14,24,0.6176470588235294,0.5357142857142857,2.051948051948052,2.1493506493506493,25.058441558441558,29.532467532467532,0.63
0-1,71,King' s Pawn Opening,black,10,10,True,True,22,10,2.3125,1.8372093023255816,2.2785714285714285,2.5714285714285716,30.428571428571427,28.65714285714286,-1.12
1-0,68,Larsen's Opening,white,12,12,True,False,30,20,0.653061224489796,2.1578947368421053,2.8074074074074074,2.2888888888888888,32.05925925925926,25.82962962962963,-0.12
1-0,56,Queen's Pawn Opening,white,11,11,True,True,22,14,0.9056603773584906,1.0789473684210527,3.225225225225225,2.2612612612612613,36.5945945945946,29.216216216216218,2.05
1-0,45,"English, Agincourt Defense",white,19,19,True,True,18,18,1.7599999999999998,0.675,2.550561797752809,2.258426966292135,32.831460674157306,29.921348314606742,-0.08
1-0,73,Benko's Opening,white,12,12,True,True,18,12,0.9333333333333332,0.6,2.4413793103448276,2.0620689655172413,31.875862068965517,24.79310344827586,-0.17
1-0,29,Larsen's Opening,white,15,15,True,True,12,2,1.0714285714285714,1.0,3.175438596491228,3.087719298245614,34.719298245614034,32.421052631578945,-0.5
1-0,42,King' s Pawn Opening,white,14,14,True,True,2,2,0.7499999999999999,0.8888888888888887,2.927710843373494,3.180722891566265,35.95180722891566,35.95180722891566,2.78
1-0,55,Larsen's Opening,white,9,9,False,False,20,12,1.0,2.8666666666666663,3.073394495412844,2.2844036697247705,35.87155963302752,27.211009174311926,-0.61
1-0,52,Larsen's Opening,white,7,7,True,True,20,10,0.3913043478260869,2.2,2.941747572815534,2.174757281553398,34.16504854368932,27.9126213592233,0.89
0-1,85,Benko's Opening,black,15,15,True,True,26,36,0.8412698412698413,1.0285714285714287,2.4583333333333335,2.8333333333333335,28.839285714285715,34.214285714285715,0.46
0-1,33,Reti Opening,black,15,15,True,True,0,18,0.8536585365853658,0.7954545454545454,2.1875,2.75,33.09375,36.0,-2.15
0-1,38,King' s Pawn Opening,black,13,13,False,True,18,28,1.2272727272727273,0.5365853658536586,2.7567567567567566,2.418918918918919,31.175675675675677,34.82432432432432,0.06
1-0,86,Reti Opening,white,11,11,False,True,6,8,0.8414634146341463,1.7435897435897434,2.52046783625731,2.1052631578947367,31.023391812865498,21.450292397660817,0.68
1-0,71,Reti Opening,white,15,15,True,True,16,16,0.5344827586206896,0.7878787878787878,2.574468085106383,1.7304964539007093,28.148936170212767,20.19858156028369,-0.75
0-1,37,Bird's Opening,black,7,7,True,False,12,4,0.43478260869565216,0.6458333333333334,2.75,2.5694444444444446,34.416666666666664,33.763888888888886,-0.71
0-1,23,Benko's Opening,black,10,10,True,True,10,2,2.7272727272727275,2.25,3.25,2.6818181818181817,32.11363636363637,32.97727272727273,-0.57
1-0,146,Dunst Opening,white,10,10,True,False,18,20,0.7627118644067797,1.6153846153846154,1.5945017182130585,2.178694158075601,25.195876288659793,20.25085910652921,-0.11
1-0,67,English Opening,white,20,20,False,True,22,10,1.3636363636363635,0.6666666666666666,2.6315789473684212,1.6090225563909775,28.616541353383457,21.81954887218045,1.11
1-0,53,Larsen's Opening,white,8,8,True,True,30,22,1.2083333333333335,0.9565217391304348,3.4285714285714284,3.057142857142857,36.114285714285714,30.057142857142857,0.55
0-1,60,French Defense,black,7,7,True,True,8,30,1.5384615384615383,0.3846153846153846,1.4830508474576272,2.864406779661017,23.66949152542373,33.53389830508475,-0.87
1-0,44,King' s Pawn Opening,white,17,17,True,True,30,16,1.9411764705882355,0.888888888888889,3.0229885057471266,1.735632183908046,36.97701149425287,26.96551724137931,0.59
0-1,58,Larsen's Opening,black,5,5,True,True,12,28,0.7,0.7450980392156863,2.473684210526316,3.2719298245614037,28.780701754385966,36.35087719298246,-0.48
1-0,44,Alekhine's Defense,white,18,18,True,True,18,12,0.5208333333333333,0.7804878048780488,3.3908045977011496,2.7701149425287355,36.770114942528735,36.4367816091954,0.66
0-1,47,English Opening,black,9,9,True,False,16,10,1.1500000000000001,2.6842105263157894,2.130434782608696,2.380434782608696,27.684782608695652,34.31521739130435,0.27
0-1,77,Reti Opening,black,19,19,False,True,10,20,0.39583333333333337,0.234375,2.539473684210526,2.2960526315789473,23.355263157894736,32.8421052631579,-0.23
1-0,81,Reti Opening,white,15,15,False,False,28,8,1.5652173913043477,0.45614035087719296,2.2422360248447206,2.031055900621118,32.09316770186335,23.29192546583851,0.26
0-1,102,Nimzo-Indian Defense,black,12,12,True,True,0,20,2.3684210526315788,1.1551724137931036,1.801980198019802,2.6930693069306932,24.955445544554454,29.925742574257427,0.07
0-1,54,Benko's Opening,black,14,14,True,True,4,18,0.8000000000000002,1.0,2.669811320754717,2.8962264150943398,27.91509433962264,36.24528301886792,0.34
0-1,57,Bird's Opening,black,13,13,False,True,18,2,0.71875,1.2222222222222223,1.8482142857142858,2.4017857142857144,26.223214285714285,33.5,-0.45
0-1,39,Dunst Opening,black,18,18,True,True,6,30,0.9767441860465117,1.1388888888888888,2.6315789473684212,3.5921052631578947,33.69736842105263,34.98684210526316,-0.88
1-0,92,English Opening,white,14,14,True,True,14,18,0.3736263736263736,0.48529411764705893,2.7049180327868854,1.901639344262295,31.6775956284153,27.349726775956285,0.14
0-1,78,Larsen's Opening,black,19,19,False,True,16,36,0.7692307692307693,0.47169811320754723,2.2532467532467533,2.9935064935064934,25.48051948051948,33.26623376623377,-0.16
1-0,51,Benko's Opening,white,12,12,True,True,18,10,0.5106382978723405,0.9615384615384617,2.376237623762376,2.891089108910891,34.801980198019805,32.76237623762376,-4.31
1-0,88,Benko's Opening,white,13,13,True,True,10,16,0.5294117647058824,0.76,2.954285714285714,1.8971428571428572,32.0,26.97714285714286,-0.22
1/2-1/2,66,Dunst Opening,draw,20,20,False,False,14,12,0.4047619047619047,0.5789473684210527,2.572519083969466,2.2061068702290076,27.6793893129771,29.374045801526716,0.04
1-0,84,Benko's Opening,white,12,12,True,True,10,12,0.6551724137931034,0.575,2.467065868263473,2.0778443113772456,29.269461077844312,27.7125748502994,-0.18
0-1,130,English Opening,black,18,18,False,True,16,16,0.7906976744186046,0.36082474226804123,1.7248062015503876,2.0155038759689923,18.732558139534884,23.98062015503876,0.2
1-0,67,Queen's Pawn Opening,white,19,19,True,True,44,16,0.3333333333333333,0.44285714285714284,2.6390977443609023,2.7669172932330826,33.609022556390975,28.842105263157894,-1.95
1-0,35,Larsen's Opening,white,16,16,True,True,6,12,0.903225806451613,0.7999999999999999,3.1739130434782608,2.753623188405797,33.507246376811594,34.82608695652174,-0.89
1-0,75,Dunst Opening,white,5,5,True,True,26,16,0.7254901960784313,1.4,2.859060402684564,1.919463087248322,30.355704697986578,27.08724832214765,0.14
0-1,80,Benko's Opening,black,12,12,True,True,14,16,1.0588235294117647,0.9365079365079365,2.037974683544304,3.2025316455696204,24.59493670886076,32.265822784810126,-1.04
1-0,60,King' s Pawn Opening,white,20,20,True,False,52,14,1.25,0.6166666666666667,2.6050420168067228,2.0168067226890756,38.78151260504202,28.88235294117647,0.52
0-1,63,Dunst Opening,black,11,11,True,False,8,14,1.3461538461538463,0.9852941176470589,3.282258064516129,2.935483870967742,33.86290322580645,33.66935483870968,0.64
0-1,46,Bird's Opening,black,10,10,True,True,4,10,0.42372881355932207,1.4375000000000002,2.188888888888889,3.0,30.07777777777778,37.37777777777778,-0.57
1-0,64,Alekhine's Defense,white,6,6,True,False,10,12,0.625,1.6756756756756757,2.921259842519685,2.37007874015748,33.56692913385827,28.070866141732285,1.19
1-0,96,Reti Opening,white,7,7,True,True,26,10,1.8888888888888888,0.7222222222222222,1.8534031413612566,2.099476439790576,29.345549738219894,23.534031413612567,0.66
0-1,77,Larsen's Opening,black,20,20,True,True,14,20,0.5277777777777778,0.21311475409836064,2.2565789473684212,2.848684210526316,24.42763157894737,31.80921052631579,-0.85
1-0,45,Larsen's Opening,white,15,15,True,False,30,16,0.40476190476190477,0.4,2.8202247191011236,2.337078651685393,33.20224719101124,24.910112359550563,0.43
1-0,39,English Opening,white,14,14,False,True,18,14,0.5925925925925926,1.35,2.8051948051948052,3.1818181818181817,31.974025974025974,31.714285714285715,-2.34
1-0,45,Bird's Opening,white,20,20,True,True,0,24,0.5172413793103449,2.7,2.50561797752809,2.1123595505617976,32.71910112359551,30.359550561797754,-0.14
1-0,54,Benko's Opening,white,11,11,True,True,10,6,0.21666666666666665,0.2363636363636364,2.710280373831776,2.467289719626168,34.58878504672897,31.77570093457944,-0.16
1/2-1/2,185,Queen's Pawn Opening,draw,19,19,True,False,18,18,1.108108108108108,0.35714285714285715,1.6548913043478262,1.7201086956521738,22.64673913043478,17.69836956521739,0.24
1-0,51,Queen's Pawn Opening,white,5,5,True,True,14,12,1.0,0.6153846153846154,3.623762376237624,2.198019801980198,36.82178217821782,34.82178217821782,0.28
1-0,64,Larsen's Opening,white,6,6,True,True,18,6,0.368421052631579,1.0799999999999998,2.5669291338582676,2.5354330708661417,34.04724409448819,33.99212598425197,1.2
1-0,46,King' s Pawn Opening,white,7,7,True,True,34,8,3.0,0.5909090909090909,3.318681318681319,2.6373626373626373,37.35164835164835,30.142857142857142,-0.21
0-1,67,Bird's Opening,black,18,18,False,True,18,48,0.8648648648648649,0.9411764705882354,2.265151515151515,2.0984848484848486,26.583333333333332,35.666666666666664,-0.41
0-1,57,Bird's Opening,black,15,15,True,True,10,18,1.212121212121212,0.5098039215686275,2.205357142857143,2.6339285714285716,27.696428571428573,35.75,-0.23
0-1,39,"English, Agincourt Defense",black,18,18,True,True,22,22,1.1707317073170733,2.769230769230769,3.0526315789473686,3.1052631578947367,34.56578947368421,35.46052631578947,2.94
0-1,55,Dunst Opening,black,15,15,True,False,6,10,0.4,0.5,2.425925925925926,2.4166666666666665,28.87962962962963,33.7962962962963,1.08
1-0,167,King' s Pawn Opening,white,15,15,True,True,8,8,0.5074626865671641,0.7894736842105264,1.7987987987987988,1.2522522522522523,21.95795795795796,15.372372372372372,0.94
1-0,60,Larsen's Opening,white,13,13,True,True,22,12,1.163265306122449,1.2972972972972971,3.134453781512605,2.134453781512605,36.865546218487395,30.529411764705884,0.54
1-0,47,King' s Pawn Opening,white,17,17,True,True,16,14,0.6046511627906976,0.9459459459459459,2.7096774193548385,2.4301075268817205,34.623655913978496,24.29032258064516,0.81
1-0,38,King' s Pawn Opening,white,15,15,True,True,14,20,0.7741935483870968,1.8181818181818183,2.84,2.6533333333333333,35.36,30.68,1.92
0-1,99,Reti Opening,black,5,5,True,False,12,44,1.4761904761904763,0.7142857142857142,2.454081632653061,2.7551020408163267,28.142857142857142,32.05102040816327,-0.24
0-1,59,Bird's Opening,black,10,10,False,False,16,12,0.9387755102040817,0.5454545454545455,1.956896551724138,1.8103448275862069,26.775862068965516,28.094827586206897,-0.3
1-0,82,Reti Opening,white,9,9,True,False,10,0,1.351851851851852,0.8888888888888888,2.392638036809816,1.1288343558282208,30.11042944785276,18.47239263803681,-0.74
0-1,47,Queen's Pawn Opening,black,11,11,True,True,16,16,1.0952380952380953,0.6428571428571429,2.8043478260869565,2.8043478260869565,32.42391304347826,35.28260869565217,0.46
0-1,38,Reti Opening,black,9,9,True,True,12,20,0.6122448979591837,1.0238095238095237,2.9324324324324325,3.0405405405405403,33.95945945945946,35.067567567567565,-0.79
1-0,58,Larsen's Opening,white,19,19,False,False,14,12,2.3157894736842106,0.5833333333333333,2.4956521739130433,1.565217391304348,33.2,24.121739130434783,0.82
1-0,62,Sicilian Defense,white,14,14,True,True,24,14,1.391304347826087,0.8214285714285714,3.0813008130081303,2.2357723577235773,34.829268292682926,26.308943089430894,0.12
0-1,97,Benko's Opening,black,6,6,True,True,10,16,1.2127659574468086,0.7142857142857143,1.625,1.8072916666666667,21.796875,28.895833333333332,-0.21
1-0,27,Alekhine's Defense,white,10,10,True,True,14,10,1.032258064516129,1.161290322580645,3.2452830188679247,2.0943396226415096,37.54716981132076,33.79245283018868,0.87
1-0,44,Larsen's Opening,white,19,19,True,False,6,16,1.2285714285714286,0.7083333333333333,2.8505747126436782,2.2413793103448274,34.52873563218391,35.9080459770115,-0.05
1-0,71,Larsen's Opening,white,11,11,True,True,16,16,1.6842105263157896,1.153846153846154,2.382978723404255,1.49645390070922,33.98581560283688,20.18439716312057,-0.24
1-0,23,English Opening,white,5,5,True,False,2,8,1.1111111111111112,0.9,2.4444444444444446,2.977777777777778,36.84444444444444,34.51111111111111,1.3
0-1,65,Bird's Opening,black,18,18,False,False,4,28,0.4130434782608696,2.4,1.78125,3.0078125,26.171875,32.7109375,-1.29
1/2-1/2,53,Queen's Pawn Opening,draw,15,15,False,False,30,14,1.2195121951219512,0.803921568627451,3.914285714285714,2.7523809523809524,35.55238095238095,36.77142857142857,0.01
0-1,37,King' s Pawn Opening,black,18,18,True,False,2,40,1.7,0.6956521739130435,1.8472222222222223,2.4722222222222223,23.15277777777778,31.75,-0.05
0-1,62,Dunst Opening,black,18,18,True,True,18,26,0.5161290322580645,1.0697674418604652,2.0327868852459017,2.3524590163934427,25.0327868852459,33.51639344262295,-1.36
0-1,47,Benko's Opening,black,19,19,False,True,12,14,1.5,1.3461538461538463,2.5434782608695654,2.4782608695652173,24.641304347826086,31.206521739130434,-0.25
1-0,70,Dunst Opening,white,6,6,False,True,24,12,1.3928571428571428,0.9074074074074073,2.553956834532374,2.179856115107914,33.18705035971223,30.51798561151079,0.8
1-0,91,Queen's Pawn Opening,white,14,14,True,True,44,10,1.6170212765957448,0.8545454545454545,3.0939226519337018,1.8453038674033149,34.85635359116022,23.093922651933703,0.46
0-1,79,English Opening,black,6,6,True,True,8,6,2.230769230769231,0.4727272727272727,2.019230769230769,1.9807692307692308,23.147435897435898,30.153846153846153,0.03
1-0,68,English Opening,white,10,10,True,False,36,18,1.2291666666666667,1.3333333333333335,2.7037037037037037,2.6074074074074076,36.13333333333333,27.91111111111111,0.5
1-0,76,Dunst Opening,white,11,11,True,True,20,8,1.7500000000000002,1.5,2.3245033112582782,2.119205298013245,28.013245033112582,23.105960264900663,-0.35
0-1,45,Sicilian Defense,black,13,13,True,True,12,38,0.95,1.4583333333333333,2.3295454545454546,2.0113636363636362,33.25,33.70454545454545,0.62
0-1,42,English Opening,black,15,15,True,True,8,16,0.7272727272727273,0.8,2.573170731707317,3.4390243902439024,32.40243902439025,37.36585365853659,0.09
0-1,40,King' s Pawn Opening,black,11,11,True,True,14,30,0.6249999999999999,0.5588235294117647,2.282051282051282,2.871794871794872,31.012820512820515,35.87179487179487,0.05
0-1,53,Bird's Opening,black,17,17,False,True,12,42,0.7391304347826086,0.3559322033898305,2.5865384615384617,3.1346153846153846,27.048076923076923,38.21153846153846,-1.94
0-1,43,English Opening,black,16,16,True,True,6,2,0.42,0.4473684210526315,2.619047619047619,2.5714285714285716,32.595238095238095,35.44047619047619,0.05
1-0,34,Reti Opening,white,7,7,True,False,10,36,0.6521739130434783,0.7560975609756098,3.1343283582089554,2.5671641791044775,39.3134328358209,36.850746268656714,-0.44
1-0,33,Indian Game,white,12,12,True,True,14,12,1.0571428571428572,0.7142857142857142,3.5692307692307694,3.0,36.84615384615385,31.815384615384616,0.7
1-0,28,Alekhine's Defense,white,11,11,True,True,6,8,0.6857142857142857,0.7999999999999999,2.8727272727272726,2.8545454545454545,36.49090909090909,33.763636363636365,-0.69
1-0,52,Bird's Opening,white,6,6,True,True,20,8,1.5172413793103448,0.6956521739130435,2.8446601941747574,2.349514563106796,33.57281553398058,27.524271844660195,-0.37
1-0,58,Dunst Opening,white,7,7,True,True,8,20,1.8846153846153846,0.9666666666666667,1.791304347826087,2.782608695652174,31.843478260869563,29.417391304347827,0.23
0-1,100,Benko's Opening,black,8,8,True,False,18,14,1.1333333333333333,2.3333333333333335,1.3838383838383839,2.1717171717171717,16.904040404040405,28.424242424242426,-1.98
0-1,89,Reti Opening,black,7,7,True,False,20,6,0.6315789473684211,1.2063492063492063,1.7159090909090908,2.3693181818181817,21.767045454545453,23.806818181818183,-0.35
0-1,68,Bird's Opening,black,13,13,True,True,6,22,2.9583333333333335,0.27631578947368424,2.283582089552239,1.9104477611940298,23.097014925373134,30.044776119402986,-1.34
1-0,54,Benko's Opening,white,16,16,True,True,20,36,2.3333333333333335,1.0,2.5794392523364484,1.9906542056074767,35.58878504672897,30.91588785046729,0.55
1-0,103,Bird's Opening,white,15,15,False,False,32,18,0.13186813186813184,0.29545454545454547,2.0195121951219512,1.4341463414634146,25.7609756097561,17.341463414634145,0.7
1-0,62,King' s Pawn Opening,white,15,15,True,True,6,8,0.9655172413793105,0.42424242424242425,2.9430894308943087,1.829268292682927,39.0650406504065,26.341463414634145,0.82
1-0,129,Larsen's Opening,white,11,11,True,False,20,18,19.11111111111111,1.1052631578947367,1.7704280155642023,1.8404669260700388,26.891050583657588,18.66147859922179,-0.8
0-1,56,Benko's Opening,black,15,15,True,True,12,16,0.8421052631578948,1.7391304347826089,2.4272727272727272,3.5272727272727273,30.7,38.72727272727273,0.41
0-1,54,Reti Opening,black,13,13,True,True,22,28,0.7173913043478262,0.48148148148148145,2.169811320754717,2.5377358490566038,29.60377358490566,35.764150943396224,-0.88
0-1,49,Bird's Opening,black,11,11,True,True,4,22,1.2285714285714286,0.28125,2.9375,3.3645833333333335,32.052083333333336,33.239583333333336,-0.78
0-1,84,Larsen's Opening,black,9,9,True,False,14,24,4.454545454545455,1.90625,1.7891566265060241,2.427710843373494,21.596385542168676,29.295180722891565,-0.51
1-0,46,Alekhine's Defense,white,7,7,True,False,8,10,2.137931034482759,1.0666666666666667,3.21978021978022,2.340659340659341,37.65934065934066,28.52747252747253,0.83
1-0,80,"English, King's Indian Variation",white,19,19,True,True,26,10,1.1739130434782608,0.5396825396825397,2.7044025157232703,2.5849056603773586,29.67295597484277,26.78616352201258,0.03
1-0,53,"English, Agincourt Defense",white,20,20,True,False,8,6,0.9285714285714286,0.7826086956521738,2.5238095238095237,1.7142857142857142,32.48571428571429,28.4,-0.3
1-0,45,Larsen's Opening,white,13,13,True,True,32,10,0.7209302325581396,0.7045454545454547,2.865168539325843,2.865168539325843,35.348314606741575,34.853932584269664,-0.29
0-1,40,English Opening,black,7,7,True,False,8,10,0.9615384615384616,0.9696969696969698,2.3333333333333335,2.128205128205128,25.615384615384617,31.91025641025641,0.47
1-0,104,Nimzo-Larsen Attack,white,8,8,True,True,30,12,1.0869565217391306,2.096774193548387,2.0386473429951693,1.9516908212560387,26.144927536231883,26.458937198067634,-0.53
1-0,47,Benko's Opening,white,5,5,True,False,22,6,1.2580645161290323,0.8387096774193549,3.129032258064516,2.032258064516129,36.645161290322584,28.365591397849464,0.62
1-0,53,King' s Pawn Opening,white,10,10,True,False,12,18,1.2093023255813953,0.5833333333333334,3.2095238095238097,2.2,36.714285714285715,32.49523809523809,-2.93
0-1,29,Benko's Opening,black,20,20,True,True,4,8,1.3103448275862069,0.935483870967742,3.232142857142857,2.482142857142857,33.089285714285715,35.214285714285715,0.44
1-0,49,Reti Opening,white,15,15,True,True,40,6,0.45283018867924535,1.4000000000000001,3.3917525773195876,2.484536082474227,41.55670103092783,30.298969072164947,1.72
0-1,63,Dunst Opening,black,10,10,True,True,4,26,0.6363636363636362,0.23076923076923075,1.8387096774193548,1.3306451612903225,22.782258064516128,31.330645161290324,1.22
1-0,29,Bird's Opening,white,12,12,True,False,30,8,0.4375,0.84,2.508771929824561,2.263157894736842,35.421052631578945,32.85964912280702,0.41
1-0,49,Reti Opening,white,9,9,True,True,14,12,0.7916666666666667,1.0,2.711340206185567,2.247422680412371,31.721649484536083,29.237113402061855,2.54
0-1,50,Dunst Opening,black,7,7,True,False,12,24,2.4166666666666665,1.4594594594594597,2.795918367346939,3.336734693877551,33.744897959183675,37.857142857142854,-1.71
1-0,48,Reti Opening,white,10,10,True,True,10,0,0.5625,0.7333333333333333,3.3473684210526318,2.8,37.305263157894736,30.11578947368421,-0.09
0-1,37,Larsen's Opening,black,5,5,True,True,12,20,0.5555555555555556,1.6956521739130435,3.138888888888889,2.9722222222222223,35.416666666666664,34.388888888888886,-0.42
0-1,70,Larsen's Opening,black,12,12,False,False,14,16,0.5348837209302325,0.4333333333333333,1.826086956521739,1.681159420289855,26.347826086956523,31.44927536231884,0.09
1-0,35,Reti Opening,white,15,15,True,True,10,10,0.5869565217391305,1.7037037037037035,3.0144927536231885,3.217391304347826,34.710144927536234,34.15942028985507,0.17
1-0,39,Queen's Pawn Opening,white,19,19,True,False,14,10,0.26666666666666666,1.0357142857142858,2.4935064935064934,2.324675324675325,37.922077922077925,29.636363636363637,1.61
0-1,60,Bird's Opening,black,19,19,False,False,6,30,1.0512820512820513,1.105263157894737,1.6355932203389831,2.389830508474576,24.779661016949152,34.8728813559322,-1.26
1-0,53,Queen's Pawn Opening,white,16,16,True,False,18,10,0.6799999999999999,1.0,2.6095238095238096,1.7714285714285714,34.42857142857143,24.714285714285715,1.48
0-1,112,Queen's Pawn Opening,black,9,9,True,False,16,28,0.6818181818181818,0.65,1.7477477477477477,2.4234234234234235,21.59009009009009,27.666666666666668,1.06
1-0,27,Bird's Opening,white,18,18,True,True,12,6,1.7142857142857142,1.1428571428571428,2.849056603773585,3.0,31.339622641509433,33.77358490566038,-0.58
1-0,30,Benko's Opening,white,18,18,True,True,18,2,0.9,0.45,2.76271186440678,3.1016949152542375,35.23728813559322,34.76271186440678,-0.08
0-1,107,Nimzo-Larsen Attack,black,16,16,True,True,8,28,0.7951807228915663,1.0806451612903225,2.3443396226415096,1.9528301886792452,24.24056603773585,27.37264150943396,0.1
1-0,69,King' s Pawn Opening,white,14,14,False,True,18,16,0.411764705882353,0.8518518518518517,2.6934306569343067,2.0,30.18978102189781,20.664233576642335,0.82
1-0,58,Benko's Opening,white,17,17,True,True,6,8,0.582089552238806,1.5625000000000002,3.121739130434783,2.608695652173913,30.347826086956523,27.22608695652174,0.2
1-0,50,Reti Opening,white,15,15,False,False,18,2,0.8,1.2307692307692308,2.9696969696969697,2.313131313131313,32.38383838383838,22.90909090909091,0.05
1-0,53,King' s Pawn Opening,white,20,20,True,False,26,2,0.3142857142857143,0.6428571428571429,3.704761904761905,2.780952380952381,39.08571428571429,29.552380952380954,0.96
