result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,w_center_control,b_center_control,white_piece_activity,black_piece_activity,eval_after_move_15
1-0,62,Bird's Opening,white,12,12,True,False,32,26,1.1666666666666667,3.0,2.186991869918699,2.7886178861788617,34.26829268292683,28.54471544715447,-2.17
0-1,44,King' s Pawn Opening,black,14,14,True,False,16,20,0.4666666666666667,1.56,3.0232558139534884,2.86046511627907,32.604651162790695,34.848837209302324,0.7
0-1,30,Benko's Opening,black,20,20,False,True,6,10,1.1153846153846154,1.0833333333333335,3.0,2.5517241379310347,33.293103448275865,33.62068965517241,-0.08
1-0,44,Queen's Pawn Opening,white,20,20,True,True,28,38,0.40625,2.1904761904761907,2.632183908045977,2.0,35.54022988505747,27.50574712643678,1.16
1/2-1/2,218,Queen's Pawn Opening,draw,13,13,False,False,10,26,0.3274336283185841,3.481481481481481,1.7165898617511521,1.1589861751152073,22.168202764976957,13.783410138248849,1.35
1-0,50,Benko's Opening,white,6,6,True,False,18,4,0.9411764705882354,1.0810810810810811,3.1717171717171717,1.898989898989899,37.7979797979798,31.555555555555557,-0.24
1-0,70,Larsen's Opening,white,11,11,True,True,16,6,0.813953488372093,1.8846153846153846,2.6402877697841727,2.093525179856115,32.597122302158276,26.93525179856115,0.1
0-1,77,King' s Pawn Opening,black,6,6,True,True,10,16,2.4285714285714284,0.32926829268292684,1.986842105263158,2.8157894736842106,28.644736842105264,35.151315789473685,-1.74
1-0,57,King' s Pawn Opening,white,9,9,False,True,16,14,0.619047619047619,1.1063829787234043,3.0088495575221237,2.2035398230088497,32.32743362831859,28.938053097345133,0.41
0-1,34,Bird's Opening,black,17,17,False,False,10,6,0.5714285714285714,0.9473684210526316,2.5757575757575757,2.4242424242424243,30.393939393939394,34.71212121212121,-0.23
1-0,62,Larsen's Opening,white,16,16,True,False,12,2,1.259259259259259,0.8387096774193549,2.7642276422764227,2.3821138211382116,34.39837398373984,31.170731707317074,0.29
1-0,72,Benko's Opening,white,14,14,True,False,26,10,0.5892857142857143,0.90625,3.090909090909091,2.6083916083916083,35.36363636363637,30.552447552447553,1.03
1-0,26,Queen's Pawn Opening,white,7,7,False,False,2,4,0.8529411764705882,1.0,3.215686274509804,3.5294117647058822,37.01960784313726,34.372549019607845,1.19
1-0,83,Bird's Opening,white,11,11,False,False,12,18,0.3529411764705882,1.4782608695652175,2.2666666666666666,2.0545454545454547,29.21818181818182,20.957575757575757,-0.11
0-1,33,Larsen's Opening,black,18,18,False,True,6,24,1.3846153846153846,1.9130434782608696,3.203125,3.03125,32.25,35.578125,-0.71
0-1,55,Queen's Pawn Opening,black,19,19,True,True,10,18,1.8499999999999996,0.2647058823529412,2.287037037037037,2.824074074074074,28.14814814814815,36.49074074074074,0.76
1-0,73,King' s Pawn Opening,white,17,17,True,True,38,14,0.8253968253968254,0.7380952380952381,2.731034482758621,1.9310344827586208,34.40689655172414,25.44137931034483,-0.12
1-0,83,Benko's Opening,white,13,13,True,True,38,14,0.8400000000000001,0.41666666666666663,2.6666666666666665,1.8666666666666667,31.024242424242424,25.866666666666667,0.06
1-0,68,Benko's Opening,white,15,15,True,True,16,18,1.4444444444444442,0.6923076923076924,2.3925925925925924,2.8814814814814813,30.651851851851852,29.755555555555556,1.51
1-0,38,Benko's Opening,white,14,14,True,True,34,22,0.7777777777777779,0.3488372093023256,2.96,2.32,37.413333333333334,28.56,0.46
0-1,51,Vienna Game,black,12,12,True,True,22,22,0.39999999999999997,0.625,2.75,3.02,32.21,35.6,0.3
1-0,48,Queen's Pawn Opening,white,6,6,True,True,36,18,0.5319148936170213,2.5833333333333335,3.2,2.663157894736842,39.96842105263158,33.97894736842105,0.46
0-1,47,Reti Opening,black,20,20,True,True,10,24,1.0769230769230769,0.9666666666666666,2.5,2.989130434782609,29.16304347826087,34.66304347826087,-0.22
1-0,81,Queen's Pawn Opening,white,17,17,False,True,24,10,1.7428571428571427,0.39999999999999997,2.6459627329192545,1.279503105590062,32.05590062111801,20.51552795031056,0.84
0-1,44,Bird's Opening,black,19,19,False,True,10,34,0.6451612903225807,1.3823529411764706,1.813953488372093,2.9767441860465116,28.0,34.98837209302326,0.65
0-1,88,Bird's Opening,black,15,15,True,True,10,20,0.5217391304347826,0.684931506849315,2.5517241379310347,1.7701149425287357,25.25287356321839,31.775862068965516,-2.81
1-0,40,Sicilian Defense,white,8,8,True,True,10,14,0.5,0.5555555555555556,2.5822784810126582,3.189873417721519,36.0,35.35443037974684,0.01
0-1,38,Bird's Opening,black,10,10,True,True,14,18,0.8780487804878049,1.2424242424242422,2.77027027027027,3.3378378378378377,33.58108108108108,34.608108108108105,-0.61
0-1,39,Sicilian Defense,black,19,19,True,True,2,30,3.333333333333333,0.24324324324324323,2.486842105263158,2.3026315789473686,29.31578947368421,32.828947368421055,-0.25
1-0,58,Benko's Opening,white,15,15,True,True,10,14,2.28,0.5135135135135135,3.0869565217391304,2.2,35.70434782608696,27.713043478260868,0.09
0-1,63,Benko's Opening,black,14,14,True,False,14,10,0.8139534883720931,0.8750000000000001,2.274193548387097,3.0,25.774193548387096,29.669354838709676,-0.41
1-0,45,English Opening,white,11,11,False,True,8,6,1.2972972972972974,0.7297297297297297,3.168539325842697,1.6179775280898876,39.0,34.28089887640449,-0.12
0-1,56,Larsen's Opening,black,13,13,True,True,10,12,0.5588235294117646,1.3214285714285714,1.8545454545454545,2.390909090909091,24.263636363636362,32.20909090909091,-0.18
1-0,98,Benko's Opening,white,13,13,True,True,14,4,0.49230769230769234,1.1923076923076923,2.071794871794872,1.5846153846153845,26.620512820512822,20.066666666666666,-0.39
0-1,102,English Opening,black,16,16,True,True,6,22,0.3655913978494624,1.0555555555555556,2.4653465346534653,2.8069306930693068,32.17326732673267,31.76732673267327,1.7
0-1,50,Larsen's Opening,black,20,20,True,True,8,28,0.8684210526315789,0.6153846153846154,2.0816326530612246,2.142857142857143,26.918367346938776,33.857142857142854,-0.24
0-1,32,Alekhine's Defense,black,19,19,False,False,14,8,0.8387096774193549,0.6428571428571429,2.967741935483871,2.8870967741935485,34.79032258064516,36.45161290322581,0.7
1-0,68,King' s Pawn Opening,white,11,11,True,False,38,0,0.47619047619047616,1.1282051282051282,3.2666666666666666,1.7703703703703704,37.44444444444444,26.585185185185185,0.81
0-1,46,English Opening,black,13,13,False,False,12,38,0.5365853658536585,0.5,2.0555555555555554,2.9555555555555557,27.855555555555554,36.455555555555556,0.5
0-1,65,Alekhine's Defense,black,18,18,False,False,10,50,1.2432432432432432,0.823529411764706,2.0546875,2.3046875,26.2421875,31.0078125,0.77
1-0,62,English Opening,white,17,17,False,True,16,32,0.9655172413793105,1.0204081632653061,2.4796747967479673,2.252032520325203,31.934959349593495,33.764227642276424,-2.18
1-0,41,Benko's Opening,white,19,19,True,True,22,14,0.5,1.1470588235294117,3.185185185185185,2.2962962962962963,33.839506172839506,28.22222222222222,-0.37
0-1,73,Larsen's Opening,black,10,10,True,True,28,24,0.9714285714285715,0.5581395348837209,1.9444444444444444,2.326388888888889,24.03472222222222,28.229166666666668,-0.22
1/2-1/2,147,King' s Pawn Opening,draw,20,20,True,False,40,46,0.6818181818181819,0.7272727272727272,1.713310580204778,1.6723549488054608,18.341296928327644,26.96928327645051,1.29
0-1,77,Benko's Opening,black,10,10,True,False,22,30,1.4594594594594594,1.2777777777777777,3.039473684210526,3.3289473684210527,31.532894736842106,33.56578947368421,3.01
1-0,72,Queen's Pawn Opening,white,9,9,True,True,32,12,1.0344827586206897,1.4666666666666666,3.167832167832168,2.202797202797203,30.986013986013987,24.272727272727273,1.85
0-1,39,Bird's Opening,black,5,5,True,True,22,22,1.2173913043478262,0.3684210526315789,2.9078947368421053,3.1447368421052633,34.276315789473685,37.43421052631579,0.09
1-0,45,Indian Defense,white,6,6,True,True,22,8,0.7999999999999999,1.0285714285714285,3.5168539325842696,3.0898876404494384,36.842696629213485,35.38202247191011,0.14
1-0,62,Bird's Opening,white,14,14,True,True,18,14,0.8292682926829268,1.4285714285714284,1.8130081300813008,2.5609756097560976,31.089430894308943,27.504065040650406,0.42
0-1,50,King's Gambit,black,14,14,False,True,6,16,0.6590909090909092,0.6363636363636364,2.683673469387755,1.8775510204081634,29.020408163265305,30.1734693877551,1.29
0-1,62,Dunst Opening,black,11,11,True,False,4,12,0.5882352941176471,0.1818181818181818,1.9754098360655739,2.5655737704918034,23.42622950819672,30.647540983606557,-0.32
0-1,34,Bird's Opening,black,18,18,True,True,4,18,1.7599999999999998,1.6296296296296295,3.3636363636363638,3.090909090909091,35.72727272727273,34.89393939393939,-0.53
1-0,51,King' s Pawn Opening,white,13,13,True,True,22,8,1.2708333333333333,0.4375,3.128712871287129,2.4653465346534653,37.960396039603964,32.722772277227726,1.74
0-1,73,Dunst Opening,black,17,17,True,True,28,30,1.0810810810810811,0.375,2.5069444444444446,2.9166666666666665,30.75,35.0,0.04
1-0,42,Queen's Pawn Opening,white,8,8,True,True,16,18,1.4054054054054055,0.5357142857142857,3.4819277108433737,1.6385542168674698,38.27710843373494,27.795180722891565,3.59
1-0,38,Dunst Opening,white,8,8,False,True,0,12,0.8529411764705881,0.8787878787878787,2.3866666666666667,2.8666666666666667,33.0,34.906666666666666,0.52
0-1,77,Reti Opening,black,18,18,True,True,18,12,0.39344262295081966,0.31999999999999995,2.4473684210526314,2.8223684210526314,24.526315789473685,33.55921052631579,-1.64
1-0,79,English Opening,white,17,17,False,False,16,22,1.0,1.206896551724138,2.4203821656050954,2.4713375796178343,31.203821656050955,26.726114649681527,0.46
1-0,73,Sicilian Defense,white,15,15,False,False,28,10,1.5,1.0434782608695652,2.331034482758621,1.8344827586206895,27.24137931034483,20.179310344827588,0.0
1-0,106,Benko's Opening,white,19,19,True,True,16,2,3.6428571428571432,1.575757575757576,2.962085308056872,1.4123222748815165,29.725118483412324,22.597156398104264,-0.26
0-1,38,Larsen's Opening,black,11,11,False,True,6,10,0.7096774193548387,1.1,2.189189189189189,2.4864864864864864,29.013513513513512,32.28378378378378,-5.36
1-0,68,King' s Pawn Opening,white,19,19,True,False,26,8,1.2962962962962963,0.7735849056603773,2.8074074074074074,1.762962962962963,34.7037037037037,29.014814814814816,0.11
1-0,47,English Opening,white,16,16,True,False,14,6,0.30000000000000004,1.0,2.870967741935484,2.6559139784946235,34.10752688172043,28.677419354838708,0.69
0-1,72,Larsen's Opening,black,8,8,True,True,22,14,1.222222222222222,1.736842105263158,2.232394366197183,2.316901408450704,25.661971830985916,34.54225352112676,-0.87
0-1,70,King' s Pawn Opening,black,13,13,True,True,8,22,0.5,2.153846153846154,2.0217391304347827,3.0144927536231885,22.39855072463768,31.1231884057971,-1.32
0-1,71,Larsen's Opening,black,19,19,True,True,22,50,0.7358490566037736,1.956521739130435,2.414285714285714,2.7142857142857144,29.3,35.535714285714285,-1.63
1-0,45,French Defense,white,5,5,True,False,10,16,0.8863636363636365,0.46,2.831460674157303,2.865168539325843,32.31460674157304,32.97752808988764,1.99
0-1,32,Dunst Opening,black,7,7,True,True,6,2,1.0,1.0,2.967741935483871,3.370967741935484,37.193548387096776,37.774193548387096,-0.56
0-1,18,English Opening,black,17,17,False,False,4,4,0.6666666666666666,1.5,2.8823529411764706,1.9705882352941178,36.5,31.5,0.0
0-1,75,Reti Opening,black,16,16,True,False,8,12,1.9333333333333333,0.3466666666666667,2.641891891891892,2.8175675675675675,26.91891891891892,30.006756756756758,0.28
0-1,59,Dunst Opening,black,15,15,True,True,18,14,0.7500000000000001,0.75,2.086206896551724,2.1206896551724137,21.853448275862068,26.70689655172414,0.82
1-0,107,Benko's Opening,white,12,12,True,True,24,22,1.4426229508196722,2.2857142857142856,2.6291079812206575,2.0892018779342725,34.375586854460096,23.366197183098592,-0.66
1-0,84,Benko's Opening,white,14,14,True,True,20,22,4.25,3.3999999999999995,2.3652694610778444,2.874251497005988,31.48502994011976,29.604790419161677,0.13
1-0,58,Dunst Opening,white,6,6,False,False,12,8,0.5476190476190477,0.4347826086956521,2.747826086956522,1.982608695652174,31.895652173913042,24.321739130434782,-0.03
