result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,opposite_side_castle,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,w_center_control,b_center_control,white_piece_activity,black_piece_activity,eval_after_move_15
1-0,59,"English, Symmetrical Variation",white,17,17,True,True,True,6,10,2.375,2.4347826086956523,2.572649572649573,2.717948717948718,32.98290598290598,31.273504273504276,-0.21
1-0,41,Dunst Opening,white,12,12,True,False,False,12,16,0.7352941176470588,0.2439024390243902,3.246913580246914,2.259259259259259,36.14814814814815,34.0,0.88
1-0,68,Dunst Opening,white,16,16,True,False,False,28,8,0.2692307692307693,1.2413793103448276,1.874074074074074,2.437037037037037,31.703703703703702,24.674074074074078,-0.29
1-0,47,Bird's Opening,white,10,10,True,True,False,6,22,0.7903225806451613,0.8958333333333334,3.10752688172043,3.3655913978494625,34.26881720430107,35.29032258064516,-4.62
0-1,58,Queen's Pawn Opening,black,17,17,True,True,True,32,6,2.055555555555556,0.7796610169491526,2.5,2.912280701754386,29.44736842105263,30.98245614035088,0.29
1-0,65,Benko's Opening,white,8,8,False,True,False,38,34,1.125,1.5,2.7906976744186047,2.2093023255813957,32.51162790697674,28.046511627906977,0.27
1-0,43,Larsen's Opening,white,13,13,True,True,False,24,6,0.8421052631578948,1.0333333333333332,2.458823529411765,2.152941176470588,34.917647058823526,28.529411764705884,0.12
1-0,55,English Opening,white,17,17,True,True,False,2,20,1.5675675675675675,1.3414634146341462,2.440366972477064,2.486238532110092,32.293577981651374,27.10091743119266,-0.59
0-1,132,Alekhine's Defense,black,12,12,True,True,True,22,24,1.1935483870967742,0.1944444444444444,1.484732824427481,2.2022900763358777,22.14503816793893,27.748091603053435,1.48
0-1,84,Dunst Opening,black,17,17,True,True,True,10,44,0.8863636363636364,2.1379310344827585,2.246987951807229,2.5060240963855422,25.69277108433735,29.81927710843373,-0.39
1-0,88,King' s Pawn Opening,white,8,8,True,True,False,36,8,0.4210526315789474,1.2340425531914894,2.72,1.68,31.56,21.77142857142857,2.15
0-1,60,Dunst Opening,black,20,20,True,True,False,12,18,1.2142857142857144,0.5510204081632653,2.4661016949152543,2.364406779661017,28.60169491525424,35.80508474576271,-0.46
0-1,60,King' s Pawn Opening,black,9,9,True,True,False,20,24,1.6666666666666663,0.6666666666666666,1.8220338983050848,2.059322033898305,25.23728813559322,29.271186440677965,0.26
0-1,62,Reti Opening,black,13,13,True,True,True,16,22,0.54,1.1,2.2868852459016398,2.877049180327869,28.92622950819672,34.28688524590164,-0.32
1-0,49,Larsen's Opening,white,11,11,True,True,True,28,16,0.7166666666666667,0.5,3.4948453608247423,2.597938144329897,37.94845360824742,35.69072164948454,-0.07
0-1,113,English Opening,black,11,11,True,False,False,14,22,0.2812499999999999,1.1851851851851851,2.482142857142857,2.0982142857142856,26.008928571428573,26.397321428571427,0.68
1-0,54,English Opening,white,13,13,True,False,False,10,10,0.9772727272727272,0.5581395348837209,3.149532710280374,2.5514018691588785,35.14018691588785,31.33644859813084,0.41
1-0,47,Larsen's Opening,white,5,5,False,True,False,22,4,1.181818181818182,0.574468085106383,2.7096774193548385,2.6666666666666665,35.634408602150536,30.06451612903226,1.01
1-0,58,Reti Opening,white,18,18,True,True,False,36,14,0.3488372093023256,0.5,2.8173913043478263,2.382608695652174,34.2695652173913,27.26086956521739,0.51
1-0,112,Reti Opening,white,17,17,True,True,True,10,12,0.3214285714285714,2.523809523809524,3.273542600896861,1.798206278026906,29.201793721973093,21.179372197309416,-0.09
0-1,45,Bird's Opening,black,11,11,True,True,False,6,14,0.9677419354838708,0.8888888888888888,2.386363636363636,2.511363636363636,24.71590909090909,34.27272727272727,-0.39
1-0,52,Larsen's Opening,white,7,7,True,True,False,30,8,2.72,0.7659574468085106,2.718446601941748,2.796116504854369,35.22330097087379,35.029126213592235,-0.28
0-1,43,English Opening,black,12,12,True,False,False,22,14,0.6829268292682927,1.119047619047619,3.095238095238096,2.833333333333333,32.94047619047619,35.51190476190476,1.91
0-1,58,Queen's Pawn Opening,black,9,9,True,True,False,24,4,1.7058823529411766,2.2222222222222223,2.736842105263158,2.3596491228070176,29.48245614035088,32.780701754385966,0.51
0-1,48,King's Gambit,black,19,19,False,True,False,14,26,0.775,0.4583333333333333,2.5531914893617023,2.574468085106383,30.47872340425532,35.57446808510638,-0.38
1-0,68,Queen's Pawn Opening,white,12,12,True,True,False,24,10,1.0833333333333337,0.9230769230769232,2.3851851851851853,2.585185185185185,33.422222222222224,29.42962962962963,1.33
0-1,77,Dunst Opening,black,19,19,True,False,False,18,26,2.136363636363636,0.3857142857142857,2.361842105263158,3.2039473684210527,27.526315789473685,34.23026315789474,-1.43
1-0,76,Reti Opening,white,7,7,True,True,False,28,16,0.5762711864406779,0.3148148148148147,2.741721854304636,1.9205298013245036,33.64900662251656,23.827814569536425,-0.2
0-1,57,Reti Opening,black,8,8,True,True,False,12,16,1.8846153846153848,1.76,2.857142857142857,2.5,31.607142857142858,33.651785714285715,0.69
